geolocation,Year,indicator,value,Target_Number
Region 10: Northern Mindanao,2019,1.4.1 Net Elem Enrolment Rate,99.23,1.4.
Region 10: Northern Mindanao,2020,1.4.1 Net Elem Enrolment Rate,97.0819,1.4.
Region 10: Northern Mindanao,2021,1.4.1 Net Elem Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2022,1.4.1 Net Elem Enrolment Rate,,1.4.
Region 11: Davao Region,2000,1.4.1 Net Elem Enrolment Rate,93.89,1.4.
Region 11: Davao Region,2001,1.4.1 Net Elem Enrolment Rate,84.7,1.4.
Region 11: Davao Region,2002,1.4.1 Net Elem Enrolment Rate,84.96,1.4.
Region 11: Davao Region,2003,1.4.1 Net Elem Enrolment Rate,84.36,1.4.
Region 11: Davao Region,2004,1.4.1 Net Elem Enrolment Rate,82.54,1.4.
Region 11: Davao Region,2005,1.4.1 Net Elem Enrolment Rate,79.01,1.4.
Region 11: Davao Region,2006,1.4.1 Net Elem Enrolment Rate,75.89,1.4.
Region 11: Davao Region,2007,1.4.1 Net Elem Enrolment Rate,77.38,1.4.
Region 11: Davao Region,2008,1.4.1 Net Elem Enrolment Rate,78,1.4.
Region 11: Davao Region,2009,1.4.1 Net Elem Enrolment Rate,93.26,1.4.
Region 11: Davao Region,2010,1.4.1 Net Elem Enrolment Rate,99.37,1.4.
Region 11: Davao Region,2011,1.4.1 Net Elem Enrolment Rate,100.53,1.4.
Region 11: Davao Region,2012,1.4.1 Net Elem Enrolment Rate,98.92,1.4.
Region 11: Davao Region,2013,1.4.1 Net Elem Enrolment Rate,100.65,1.4.
Region 11: Davao Region,2014,1.4.1 Net Elem Enrolment Rate,99.78,1.4.
Region 11: Davao Region,2015,1.4.1 Net Elem Enrolment Rate,101.34,1.4.
Region 11: Davao Region,2016,1.4.1 Net Elem Enrolment Rate,100.06,1.4.
Region 11: Davao Region,2017,1.4.1 Net Elem Enrolment Rate,96.88,1.4.
Region 11: Davao Region,2018,1.4.1 Net Elem Enrolment Rate,95.61,1.4.
Region 11: Davao Region,2019,1.4.1 Net Elem Enrolment Rate,93.87,1.4.
Region 11: Davao Region,2020,1.4.1 Net Elem Enrolment Rate,86.266,1.4.
Region 11: Davao Region,2021,1.4.1 Net Elem Enrolment Rate,,1.4.
Region 11: Davao Region,2022,1.4.1 Net Elem Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2000,1.4.1 Net Elem Enrolment Rate,97.34,1.4.
Region 12: SOCCSKSARGEN,2001,1.4.1 Net Elem Enrolment Rate,86.78,1.4.
Region 12: SOCCSKSARGEN,2002,1.4.1 Net Elem Enrolment Rate,82.01,1.4.
Region 12: SOCCSKSARGEN,2003,1.4.1 Net Elem Enrolment Rate,81.18,1.4.
Region 12: SOCCSKSARGEN,2004,1.4.1 Net Elem Enrolment Rate,79.99,1.4.
Region 12: SOCCSKSARGEN,2005,1.4.1 Net Elem Enrolment Rate,77.43,1.4.
Region 12: SOCCSKSARGEN,2006,1.4.1 Net Elem Enrolment Rate,76.35,1.4.
Region 12: SOCCSKSARGEN,2007,1.4.1 Net Elem Enrolment Rate,78.65,1.4.
Region 12: SOCCSKSARGEN,2008,1.4.1 Net Elem Enrolment Rate,80.12,1.4.
Region 12: SOCCSKSARGEN,2009,1.4.1 Net Elem Enrolment Rate,84.55,1.4.
Region 12: SOCCSKSARGEN,2010,1.4.1 Net Elem Enrolment Rate,88.65,1.4.
Region 12: SOCCSKSARGEN,2011,1.4.1 Net Elem Enrolment Rate,90.95,1.4.
Region 12: SOCCSKSARGEN,2012,1.4.1 Net Elem Enrolment Rate,90.23,1.4.
Region 12: SOCCSKSARGEN,2013,1.4.1 Net Elem Enrolment Rate,90.52,1.4.
Region 12: SOCCSKSARGEN,2014,1.4.1 Net Elem Enrolment Rate,92.95,1.4.
Region 12: SOCCSKSARGEN,2015,1.4.1 Net Elem Enrolment Rate,93.78,1.4.
Region 12: SOCCSKSARGEN,2016,1.4.1 Net Elem Enrolment Rate,93.3,1.4.
Region 12: SOCCSKSARGEN,2017,1.4.1 Net Elem Enrolment Rate,91.86,1.4.
Region 12: SOCCSKSARGEN,2018,1.4.1 Net Elem Enrolment Rate,92.04,1.4.
Region 12: SOCCSKSARGEN,2019,1.4.1 Net Elem Enrolment Rate,92.24,1.4.
Region 12: SOCCSKSARGEN,2020,1.4.1 Net Elem Enrolment Rate,88.7282,1.4.
Region 12: SOCCSKSARGEN,2021,1.4.1 Net Elem Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2022,1.4.1 Net Elem Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2000,1.4.1 Net Elem Enrolment Rate,94.42,1.4.
CAR: Cordillera Administrative Region,2001,1.4.1 Net Elem Enrolment Rate,92.89,1.4.
CAR: Cordillera Administrative Region,2002,1.4.1 Net Elem Enrolment Rate,91.52,1.4.
CAR: Cordillera Administrative Region,2003,1.4.1 Net Elem Enrolment Rate,89.19,1.4.
CAR: Cordillera Administrative Region,2004,1.4.1 Net Elem Enrolment Rate,86.4,1.4.
CAR: Cordillera Administrative Region,2005,1.4.1 Net Elem Enrolment Rate,82.58,1.4.
CAR: Cordillera Administrative Region,2006,1.4.1 Net Elem Enrolment Rate,80.86,1.4.
CAR: Cordillera Administrative Region,2007,1.4.1 Net Elem Enrolment Rate,81.5,1.4.
CAR: Cordillera Administrative Region,2008,1.4.1 Net Elem Enrolment Rate,81.93,1.4.
CAR: Cordillera Administrative Region,2009,1.4.1 Net Elem Enrolment Rate,99.51,1.4.
CAR: Cordillera Administrative Region,2010,1.4.1 Net Elem Enrolment Rate,97.64,1.4.
CAR: Cordillera Administrative Region,2011,1.4.1 Net Elem Enrolment Rate,100.8,1.4.
CAR: Cordillera Administrative Region,2012,1.4.1 Net Elem Enrolment Rate,100,1.4.
CAR: Cordillera Administrative Region,2013,1.4.1 Net Elem Enrolment Rate,99.66,1.4.
CAR: Cordillera Administrative Region,2014,1.4.1 Net Elem Enrolment Rate,100.16,1.4.
CAR: Cordillera Administrative Region,2015,1.4.1 Net Elem Enrolment Rate,99.19,1.4.
CAR: Cordillera Administrative Region,2016,1.4.1 Net Elem Enrolment Rate,97.24,1.4.
CAR: Cordillera Administrative Region,2017,1.4.1 Net Elem Enrolment Rate,94.37,1.4.
CAR: Cordillera Administrative Region,2018,1.4.1 Net Elem Enrolment Rate,92.24,1.4.
CAR: Cordillera Administrative Region,2019,1.4.1 Net Elem Enrolment Rate,91.4,1.4.
CAR: Cordillera Administrative Region,2020,1.4.1 Net Elem Enrolment Rate,87.5276,1.4.
CAR: Cordillera Administrative Region,2021,1.4.1 Net Elem Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2022,1.4.1 Net Elem Enrolment Rate,,1.4.
NCR: National Capital Region,2000,1.4.1 Net JHS Enrolment Rate (Boys),78.57,1.4.
NCR: National Capital Region,2001,1.4.1 Net JHS Enrolment Rate (Boys),61.7,1.4.
NCR: National Capital Region,2002,1.4.1 Net JHS Enrolment Rate (Boys),72.57,1.4.
NCR: National Capital Region,2003,1.4.1 Net JHS Enrolment Rate (Boys),74.02,1.4.
NCR: National Capital Region,2004,1.4.1 Net JHS Enrolment Rate (Boys),73.67,1.4.
NCR: National Capital Region,2005,1.4.1 Net JHS Enrolment Rate (Boys),72.65,1.4.
NCR: National Capital Region,2006,1.4.1 Net JHS Enrolment Rate (Boys),72.89,1.4.
NCR: National Capital Region,2007,1.4.1 Net JHS Enrolment Rate (Boys),78.1,1.4.
NCR: National Capital Region,2008,1.4.1 Net JHS Enrolment Rate (Boys),79.4,1.4.
NCR: National Capital Region,2009,1.4.1 Net JHS Enrolment Rate (Boys),73.69,1.4.
NCR: National Capital Region,2010,1.4.1 Net JHS Enrolment Rate (Boys),76.04,1.4.
NCR: National Capital Region,2011,1.4.1 Net JHS Enrolment Rate (Boys),76.27,1.4.
NCR: National Capital Region,2012,1.4.1 Net JHS Enrolment Rate (Boys),77.04,1.4.
NCR: National Capital Region,2013,1.4.1 Net JHS Enrolment Rate (Boys),77.91,1.4.
NCR: National Capital Region,2014,1.4.1 Net JHS Enrolment Rate (Boys),74.61,1.4.
NCR: National Capital Region,2015,1.4.1 Net JHS Enrolment Rate (Boys),79.52,1.4.
NCR: National Capital Region,2016,1.4.1 Net JHS Enrolment Rate (Boys),78.7,1.4.
NCR: National Capital Region,2017,1.4.1 Net JHS Enrolment Rate (Boys),80.22,1.4.
NCR: National Capital Region,2018,1.4.1 Net JHS Enrolment Rate (Boys),85.04,1.4.
NCR: National Capital Region,2019,1.4.1 Net JHS Enrolment Rate (Boys),86.06,1.4.
NCR: National Capital Region,2020,1.4.1 Net JHS Enrolment Rate (Boys),81.5199,1.4.
NCR: National Capital Region,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
NCR: National Capital Region,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 1: Ilocos Region,2000,1.4.1 Net JHS Enrolment Rate (Boys),85.07,1.4.
Region 1: Ilocos Region,2001,1.4.1 Net JHS Enrolment Rate (Boys),64.83,1.4.
Region 1: Ilocos Region,2002,1.4.1 Net JHS Enrolment Rate (Boys),64.91,1.4.
Region 1: Ilocos Region,2003,1.4.1 Net JHS Enrolment Rate (Boys),64.39,1.4.
Region 1: Ilocos Region,2004,1.4.1 Net JHS Enrolment Rate (Boys),62.8,1.4.
Region 1: Ilocos Region,2005,1.4.1 Net JHS Enrolment Rate (Boys),62.16,1.4.
Region 1: Ilocos Region,2006,1.4.1 Net JHS Enrolment Rate (Boys),64.43,1.4.
Region 1: Ilocos Region,2007,1.4.1 Net JHS Enrolment Rate (Boys),64.5,1.4.
Region 1: Ilocos Region,2008,1.4.1 Net JHS Enrolment Rate (Boys),65.24,1.4.
Region 1: Ilocos Region,2009,1.4.1 Net JHS Enrolment Rate (Boys),67.95,1.4.
Region 1: Ilocos Region,2010,1.4.1 Net JHS Enrolment Rate (Boys),71.91,1.4.
Region 1: Ilocos Region,2011,1.4.1 Net JHS Enrolment Rate (Boys),71.8,1.4.
Region 1: Ilocos Region,2012,1.4.1 Net JHS Enrolment Rate (Boys),73.18,1.4.
Region 1: Ilocos Region,2013,1.4.1 Net JHS Enrolment Rate (Boys),75.61,1.4.
Region 1: Ilocos Region,2014,1.4.1 Net JHS Enrolment Rate (Boys),74.87,1.4.
Region 1: Ilocos Region,2015,1.4.1 Net JHS Enrolment Rate (Boys),80.05,1.4.
Region 1: Ilocos Region,2016,1.4.1 Net JHS Enrolment Rate (Boys),80.86,1.4.
Region 1: Ilocos Region,2017,1.4.1 Net JHS Enrolment Rate (Boys),81.77,1.4.
Region 1: Ilocos Region,2018,1.4.1 Net JHS Enrolment Rate (Boys),85.14,1.4.
Region 1: Ilocos Region,2019,1.4.1 Net JHS Enrolment Rate (Boys),87.06,1.4.
Region 1: Ilocos Region,2020,1.4.1 Net JHS Enrolment Rate (Boys),87.9661,1.4.
Region 1: Ilocos Region,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 1: Ilocos Region,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 2: Cagayan Valley,2000,1.4.1 Net JHS Enrolment Rate (Boys),73.31,1.4.
Region 2: Cagayan Valley,2001,1.4.1 Net JHS Enrolment Rate (Boys),54.5,1.4.
Region 2: Cagayan Valley,2002,1.4.1 Net JHS Enrolment Rate (Boys),54.37,1.4.
Region 2: Cagayan Valley,2003,1.4.1 Net JHS Enrolment Rate (Boys),56.2,1.4.
Region 2: Cagayan Valley,2004,1.4.1 Net JHS Enrolment Rate (Boys),54.86,1.4.
Region 2: Cagayan Valley,2005,1.4.1 Net JHS Enrolment Rate (Boys),53.38,1.4.
Region 2: Cagayan Valley,2006,1.4.1 Net JHS Enrolment Rate (Boys),53.55,1.4.
Region 2: Cagayan Valley,2007,1.4.1 Net JHS Enrolment Rate (Boys),54.63,1.4.
Region 2: Cagayan Valley,2008,1.4.1 Net JHS Enrolment Rate (Boys),53.56,1.4.
Region 2: Cagayan Valley,2009,1.4.1 Net JHS Enrolment Rate (Boys),61.41,1.4.
Region 2: Cagayan Valley,2010,1.4.1 Net JHS Enrolment Rate (Boys),64.07,1.4.
Region 2: Cagayan Valley,2011,1.4.1 Net JHS Enrolment Rate (Boys),64.89,1.4.
Region 2: Cagayan Valley,2012,1.4.1 Net JHS Enrolment Rate (Boys),65.56,1.4.
Region 2: Cagayan Valley,2013,1.4.1 Net JHS Enrolment Rate (Boys),67.49,1.4.
Region 2: Cagayan Valley,2014,1.4.1 Net JHS Enrolment Rate (Boys),66.87,1.4.
Region 2: Cagayan Valley,2015,1.4.1 Net JHS Enrolment Rate (Boys),72.12,1.4.
Region 2: Cagayan Valley,2016,1.4.1 Net JHS Enrolment Rate (Boys),73.82,1.4.
Region 2: Cagayan Valley,2017,1.4.1 Net JHS Enrolment Rate (Boys),75.91,1.4.
Region 2: Cagayan Valley,2018,1.4.1 Net JHS Enrolment Rate (Boys),80.78,1.4.
Region 2: Cagayan Valley,2019,1.4.1 Net JHS Enrolment Rate (Boys),84.75,1.4.
Region 2: Cagayan Valley,2020,1.4.1 Net JHS Enrolment Rate (Boys),90.0406,1.4.
Region 2: Cagayan Valley,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 2: Cagayan Valley,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 3: Central Luzon,2000,1.4.1 Net JHS Enrolment Rate (Boys),72.13,1.4.
Region 3: Central Luzon,2001,1.4.1 Net JHS Enrolment Rate (Boys),62.76,1.4.
Region 3: Central Luzon,2002,1.4.1 Net JHS Enrolment Rate (Boys),63.59,1.4.
Region 3: Central Luzon,2003,1.4.1 Net JHS Enrolment Rate (Boys),65.18,1.4.
Region 3: Central Luzon,2004,1.4.1 Net JHS Enrolment Rate (Boys),65.45,1.4.
Region 3: Central Luzon,2005,1.4.1 Net JHS Enrolment Rate (Boys),64.77,1.4.
Region 3: Central Luzon,2006,1.4.1 Net JHS Enrolment Rate (Boys),65.4,1.4.
Region 3: Central Luzon,2007,1.4.1 Net JHS Enrolment Rate (Boys),67.21,1.4.
Region 3: Central Luzon,2008,1.4.1 Net JHS Enrolment Rate (Boys),67.95,1.4.
Region 3: Central Luzon,2009,1.4.1 Net JHS Enrolment Rate (Boys),64.64,1.4.
Region 3: Central Luzon,2010,1.4.1 Net JHS Enrolment Rate (Boys),70.1,1.4.
Region 3: Central Luzon,2011,1.4.1 Net JHS Enrolment Rate (Boys),70.17,1.4.
Region 3: Central Luzon,2012,1.4.1 Net JHS Enrolment Rate (Boys),70.81,1.4.
Region 3: Central Luzon,2013,1.4.1 Net JHS Enrolment Rate (Boys),73.38,1.4.
Region 3: Central Luzon,2014,1.4.1 Net JHS Enrolment Rate (Boys),72.97,1.4.
Region 3: Central Luzon,2015,1.4.1 Net JHS Enrolment Rate (Boys),77.36,1.4.
Region 3: Central Luzon,2016,1.4.1 Net JHS Enrolment Rate (Boys),78.39,1.4.
Region 3: Central Luzon,2017,1.4.1 Net JHS Enrolment Rate (Boys),78.54,1.4.
Region 3: Central Luzon,2018,1.4.1 Net JHS Enrolment Rate (Boys),81.44,1.4.
Region 3: Central Luzon,2019,1.4.1 Net JHS Enrolment Rate (Boys),84.04,1.4.
Region 3: Central Luzon,2020,1.4.1 Net JHS Enrolment Rate (Boys),82.4587,1.4.
Region 3: Central Luzon,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 3: Central Luzon,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 4A: CALABARZON,2000,1.4.1 Net JHS Enrolment Rate (Boys),67.88,1.4.
Region 4A: CALABARZON,2001,1.4.1 Net JHS Enrolment Rate (Boys),62.13,1.4.
Region 4A: CALABARZON,2002,1.4.1 Net JHS Enrolment Rate (Boys),64.36,1.4.
Region 4A: CALABARZON,2003,1.4.1 Net JHS Enrolment Rate (Boys),66.08,1.4.
Region 4A: CALABARZON,2004,1.4.1 Net JHS Enrolment Rate (Boys),66.65,1.4.
Region 4A: CALABARZON,2005,1.4.1 Net JHS Enrolment Rate (Boys),64.77,1.4.
Region 4A: CALABARZON,2006,1.4.1 Net JHS Enrolment Rate (Boys),67,1.4.
Region 4A: CALABARZON,2007,1.4.1 Net JHS Enrolment Rate (Boys),69.59,1.4.
Region 4A: CALABARZON,2008,1.4.1 Net JHS Enrolment Rate (Boys),70.74,1.4.
Region 4A: CALABARZON,2009,1.4.1 Net JHS Enrolment Rate (Boys),63.01,1.4.
Region 4A: CALABARZON,2010,1.4.1 Net JHS Enrolment Rate (Boys),65.98,1.4.
Region 4A: CALABARZON,2011,1.4.1 Net JHS Enrolment Rate (Boys),68.29,1.4.
Region 4A: CALABARZON,2012,1.4.1 Net JHS Enrolment Rate (Boys),69.34,1.4.
Region 4A: CALABARZON,2013,1.4.1 Net JHS Enrolment Rate (Boys),69.87,1.4.
Region 4A: CALABARZON,2014,1.4.1 Net JHS Enrolment Rate (Boys),69.37,1.4.
Region 4A: CALABARZON,2015,1.4.1 Net JHS Enrolment Rate (Boys),75.58,1.4.
Region 4A: CALABARZON,2016,1.4.1 Net JHS Enrolment Rate (Boys),76.69,1.4.
Region 4A: CALABARZON,2017,1.4.1 Net JHS Enrolment Rate (Boys),78.09,1.4.
Region 4A: CALABARZON,2018,1.4.1 Net JHS Enrolment Rate (Boys),83.01,1.4.
Region 4A: CALABARZON,2019,1.4.1 Net JHS Enrolment Rate (Boys),84.29,1.4.
Region 4A: CALABARZON,2020,1.4.1 Net JHS Enrolment Rate (Boys),80.833,1.4.
Region 4A: CALABARZON,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 4A: CALABARZON,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 5: Bicol Region,2000,1.4.1 Net JHS Enrolment Rate (Boys),56.61,1.4.
Region 5: Bicol Region,2001,1.4.1 Net JHS Enrolment Rate (Boys),51.54,1.4.
Region 5: Bicol Region,2002,1.4.1 Net JHS Enrolment Rate (Boys),49.23,1.4.
Region 5: Bicol Region,2003,1.4.1 Net JHS Enrolment Rate (Boys),49.77,1.4.
Region 5: Bicol Region,2004,1.4.1 Net JHS Enrolment Rate (Boys),49.62,1.4.
Region 5: Bicol Region,2005,1.4.1 Net JHS Enrolment Rate (Boys),46.95,1.4.
Region 5: Bicol Region,2006,1.4.1 Net JHS Enrolment Rate (Boys),48.22,1.4.
Region 5: Bicol Region,2007,1.4.1 Net JHS Enrolment Rate (Boys),50.24,1.4.
Region 5: Bicol Region,2008,1.4.1 Net JHS Enrolment Rate (Boys),49.65,1.4.
Region 5: Bicol Region,2009,1.4.1 Net JHS Enrolment Rate (Boys),49.21,1.4.
Region 5: Bicol Region,2010,1.4.1 Net JHS Enrolment Rate (Boys),51.57,1.4.
Region 5: Bicol Region,2011,1.4.1 Net JHS Enrolment Rate (Boys),54.38,1.4.
Region 5: Bicol Region,2012,1.4.1 Net JHS Enrolment Rate (Boys),55.32,1.4.
Region 5: Bicol Region,2013,1.4.1 Net JHS Enrolment Rate (Boys),58.62,1.4.
Region 5: Bicol Region,2014,1.4.1 Net JHS Enrolment Rate (Boys),58.68,1.4.
Region 5: Bicol Region,2015,1.4.1 Net JHS Enrolment Rate (Boys),65.61,1.4.
Region 5: Bicol Region,2016,1.4.1 Net JHS Enrolment Rate (Boys),66.68,1.4.
Region 5: Bicol Region,2017,1.4.1 Net JHS Enrolment Rate (Boys),70.27,1.4.
Region 5: Bicol Region,2018,1.4.1 Net JHS Enrolment Rate (Boys),78.71,1.4.
Region 5: Bicol Region,2019,1.4.1 Net JHS Enrolment Rate (Boys),78.18,1.4.
Region 5: Bicol Region,2020,1.4.1 Net JHS Enrolment Rate (Boys),70.953,1.4.
Region 5: Bicol Region,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 5: Bicol Region,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 6: Western Visayas,2000,1.4.1 Net JHS Enrolment Rate (Boys),56.4,1.4.
Region 6: Western Visayas,2001,1.4.1 Net JHS Enrolment Rate (Boys),53.14,1.4.
Region 6: Western Visayas,2002,1.4.1 Net JHS Enrolment Rate (Boys),51.92,1.4.
Region 6: Western Visayas,2003,1.4.1 Net JHS Enrolment Rate (Boys),52.19,1.4.
Region 6: Western Visayas,2004,1.4.1 Net JHS Enrolment Rate (Boys),51.07,1.4.
Region 6: Western Visayas,2005,1.4.1 Net JHS Enrolment Rate (Boys),49,1.4.
Region 6: Western Visayas,2006,1.4.1 Net JHS Enrolment Rate (Boys),47.08,1.4.
Region 6: Western Visayas,2007,1.4.1 Net JHS Enrolment Rate (Boys),48.59,1.4.
Region 6: Western Visayas,2008,1.4.1 Net JHS Enrolment Rate (Boys),49.01,1.4.
Region 6: Western Visayas,2009,1.4.1 Net JHS Enrolment Rate (Boys),50.54,1.4.
Region 6: Western Visayas,2010,1.4.1 Net JHS Enrolment Rate (Boys),55.47,1.4.
Region 6: Western Visayas,2011,1.4.1 Net JHS Enrolment Rate (Boys),56.39,1.4.
Region 6: Western Visayas,2012,1.4.1 Net JHS Enrolment Rate (Boys),57,1.4.
Region 6: Western Visayas,2013,1.4.1 Net JHS Enrolment Rate (Boys),59.16,1.4.
Region 6: Western Visayas,2014,1.4.1 Net JHS Enrolment Rate (Boys),59.07,1.4.
Region 6: Western Visayas,2015,1.4.1 Net JHS Enrolment Rate (Boys),68.44,1.4.
Region 6: Western Visayas,2016,1.4.1 Net JHS Enrolment Rate (Boys),68.02,1.4.
Region 6: Western Visayas,2017,1.4.1 Net JHS Enrolment Rate (Boys),70.54,1.4.
Region 6: Western Visayas,2018,1.4.1 Net JHS Enrolment Rate (Boys),80.14,1.4.
Region 6: Western Visayas,2019,1.4.1 Net JHS Enrolment Rate (Boys),81.63,1.4.
Region 6: Western Visayas,2020,1.4.1 Net JHS Enrolment Rate (Boys),84.6275,1.4.
Region 6: Western Visayas,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 6: Western Visayas,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 7: Central Visayas,2000,1.4.1 Net JHS Enrolment Rate (Boys),60.61,1.4.
Region 7: Central Visayas,2001,1.4.1 Net JHS Enrolment Rate (Boys),51.08,1.4.
Region 7: Central Visayas,2002,1.4.1 Net JHS Enrolment Rate (Boys),52.2,1.4.
Region 7: Central Visayas,2003,1.4.1 Net JHS Enrolment Rate (Boys),52.89,1.4.
Region 7: Central Visayas,2004,1.4.1 Net JHS Enrolment Rate (Boys),52.03,1.4.
Region 7: Central Visayas,2005,1.4.1 Net JHS Enrolment Rate (Boys),48.94,1.4.
Region 7: Central Visayas,2006,1.4.1 Net JHS Enrolment Rate (Boys),48.26,1.4.
Region 7: Central Visayas,2007,1.4.1 Net JHS Enrolment Rate (Boys),48.62,1.4.
Region 7: Central Visayas,2008,1.4.1 Net JHS Enrolment Rate (Boys),50.13,1.4.
Region 7: Central Visayas,2009,1.4.1 Net JHS Enrolment Rate (Boys),50.37,1.4.
Region 7: Central Visayas,2010,1.4.1 Net JHS Enrolment Rate (Boys),55.2,1.4.
Region 7: Central Visayas,2011,1.4.1 Net JHS Enrolment Rate (Boys),54.77,1.4.
Region 7: Central Visayas,2012,1.4.1 Net JHS Enrolment Rate (Boys),57.65,1.4.
Region 7: Central Visayas,2013,1.4.1 Net JHS Enrolment Rate (Boys),61.44,1.4.
Region 7: Central Visayas,2014,1.4.1 Net JHS Enrolment Rate (Boys),60.81,1.4.
Region 7: Central Visayas,2015,1.4.1 Net JHS Enrolment Rate (Boys),69.02,1.4.
Region 7: Central Visayas,2016,1.4.1 Net JHS Enrolment Rate (Boys),69.9,1.4.
Region 7: Central Visayas,2017,1.4.1 Net JHS Enrolment Rate (Boys),71.91,1.4.
Region 7: Central Visayas,2018,1.4.1 Net JHS Enrolment Rate (Boys),82.27,1.4.
Region 7: Central Visayas,2019,1.4.1 Net JHS Enrolment Rate (Boys),83.37,1.4.
Region 7: Central Visayas,2020,1.4.1 Net JHS Enrolment Rate (Boys),80.7059,1.4.
Region 7: Central Visayas,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 7: Central Visayas,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 8: Eastern Visayas,2000,1.4.1 Net JHS Enrolment Rate (Boys),42.22,1.4.
Region 8: Eastern Visayas,2001,1.4.1 Net JHS Enrolment Rate (Boys),43.41,1.4.
Region 8: Eastern Visayas,2002,1.4.1 Net JHS Enrolment Rate (Boys),42.9,1.4.
Region 8: Eastern Visayas,2003,1.4.1 Net JHS Enrolment Rate (Boys),43.36,1.4.
Region 8: Eastern Visayas,2004,1.4.1 Net JHS Enrolment Rate (Boys),44.16,1.4.
Region 8: Eastern Visayas,2005,1.4.1 Net JHS Enrolment Rate (Boys),43.79,1.4.
Region 8: Eastern Visayas,2006,1.4.1 Net JHS Enrolment Rate (Boys),43.43,1.4.
Region 8: Eastern Visayas,2007,1.4.1 Net JHS Enrolment Rate (Boys),45.31,1.4.
Region 8: Eastern Visayas,2008,1.4.1 Net JHS Enrolment Rate (Boys),46.85,1.4.
Region 8: Eastern Visayas,2009,1.4.1 Net JHS Enrolment Rate (Boys),46.3,1.4.
Region 8: Eastern Visayas,2010,1.4.1 Net JHS Enrolment Rate (Boys),50.11,1.4.
Region 8: Eastern Visayas,2011,1.4.1 Net JHS Enrolment Rate (Boys),51.39,1.4.
Region 8: Eastern Visayas,2012,1.4.1 Net JHS Enrolment Rate (Boys),53.26,1.4.
Region 8: Eastern Visayas,2013,1.4.1 Net JHS Enrolment Rate (Boys),56.79,1.4.
Region 8: Eastern Visayas,2014,1.4.1 Net JHS Enrolment Rate (Boys),56.18,1.4.
Region 8: Eastern Visayas,2015,1.4.1 Net JHS Enrolment Rate (Boys),63.63,1.4.
Region 8: Eastern Visayas,2016,1.4.1 Net JHS Enrolment Rate (Boys),64.9,1.4.
Region 8: Eastern Visayas,2017,1.4.1 Net JHS Enrolment Rate (Boys),68.24,1.4.
Region 8: Eastern Visayas,2018,1.4.1 Net JHS Enrolment Rate (Boys),74.33,1.4.
Region 8: Eastern Visayas,2019,1.4.1 Net JHS Enrolment Rate (Boys),75.5,1.4.
Region 8: Eastern Visayas,2020,1.4.1 Net JHS Enrolment Rate (Boys),77.576,1.4.
Region 8: Eastern Visayas,2021,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 8: Eastern Visayas,2022,1.4.1 Net JHS Enrolment Rate (Boys),,1.4.
Region 9: Zamboanga Peninsula,2000,1.4.1 Net JHS Enrolment Rate (Boys),57.11,1.4.
Region 9: Zamboanga Peninsula,2001,1.4.1 Net JHS Enrolment Rate (Boys),40.13,1.4.
Region 9: Zamboanga Peninsula,2002,1.4.1 Net JHS Enrolment Rate (Boys),44.79,1.4.
Region 9: Zamboanga Peninsula,2003,1.4.1 Net JHS Enrolment Rate (Boys),44.04,1.4.
Region 9: Zamboanga Peninsula,2004,1.4.1 Net JHS Enrolment Rate (Boys),45.13,1.4.
Region 9: Zamboanga Peninsula,2005,1.4.1 Net JHS Enrolment Rate (Boys),42.16,1.4.
Region 9: Zamboanga Peninsula,2006,1.4.1 Net JHS Enrolment Rate (Boys),42.74,1.4.
Region 9: Zamboanga Peninsula,2007,1.4.1 Net JHS Enrolment Rate (Boys),45.22,1.4.
Region 9: Zamboanga Peninsula,2008,1.4.1 Net JHS Enrolment Rate (Boys),44.4,1.4.
Region 9: Zamboanga Peninsula,2009,1.4.1 Net JHS Enrolment Rate (Boys),43.62,1.4.
Region 9: Zamboanga Peninsula,2010,1.4.1 Net JHS Enrolment Rate (Boys),45.36,1.4.
